"Date","Price","Open","High","Low","Change %"
"Nov 23, 2017","17.135","17.096","17.160","17.068","0.23"
"Nov 22, 2017","17.096","16.986","17.171","16.956","0.65"
"Nov 21, 2017","16.986","16.961","17.058","16.914","0.14"
"Nov 20, 2017","16.962","17.273","17.280","16.848","-2.02"
"Nov 17, 2017","17.312","17.094","17.379","17.033","1.26"
"Nov 16, 2017","17.096","16.998","17.130","16.959","0.58"
"Nov 15, 2017","16.997","17.035","17.203","16.952","-0.22"
"Nov 14, 2017","17.034","17.033","17.093","16.874","0.01"
"Nov 13, 2017","17.032","16.915","17.075","16.834","0.83"
"Nov 10, 2017","16.892","17.012","17.102","16.803","-0.71"
"Nov 09, 2017","17.013","17.056","17.148","16.919","-0.26"
"Nov 08, 2017","17.058","16.999","17.255","16.978","0.34"
"Nov 07, 2017","17.001","17.185","17.197","16.926","-1.06"
"Nov 06, 2017","17.184","16.867","17.261","16.807","1.99"
"Nov 03, 2017","16.849","17.154","17.181","16.791","-1.78"
"Nov 02, 2017","17.154","17.141","17.239","17.044","0.14"
"Nov 01, 2017","17.130","16.702","17.200","16.672","2.57"
"Oct 31, 2017","16.701","16.870","16.901","16.643","-0.98"
"Oct 30, 2017","16.867","16.840","16.899","16.698","0.05"
"Oct 27, 2017","16.858","16.788","16.868","16.613","0.41"
"Oct 26, 2017","16.789","16.975","17.035","16.752","-1.12"
"Oct 25, 2017","16.980","16.912","17.040","16.818","0.39"
"Oct 24, 2017","16.914","17.100","17.147","16.889","-1.09"
"Oct 23, 2017","17.101","16.977","17.113","16.863","0.35"
"Oct 20, 2017","17.041","17.270","17.280","16.931","-1.33"
"Oct 19, 2017","17.270","16.993","17.291","16.921","1.62"
"Oct 18, 2017","16.994","17.059","17.108","16.910","-0.38"
"Oct 17, 2017","17.058","17.235","17.255","16.973","-1.03"
"Oct 16, 2017","17.236","17.419","17.467","17.115","-1.03"
"Oct 13, 2017","17.416","17.252","17.416","17.189","0.95"
"Oct 12, 2017","17.252","17.196","17.265","17.119","0.32"
"Oct 11, 2017","17.197","17.158","17.239","17.065","0.22"
"Oct 10, 2017","17.159","16.968","17.249","16.938","1.13"
"Oct 09, 2017","16.968","16.817","16.995","16.800","0.84"
"Oct 06, 2017","16.827","16.621","16.865","16.335","1.23"
"Oct 05, 2017","16.623","16.593","16.748","16.572","0.18"
"Oct 04, 2017","16.593","16.647","16.892","16.558","-0.32"
